ID,GENERO,EDAD,N,AC_Z,ACTIVIDAD
1,0,1,0,7.0594940185546875,1
1,0,1,1,5.75225830078125,1
1,0,1,2,6.4178466796875,1
1,0,1,3,7.490447998046875,1
1,0,1,4,7.65325927734375,1
1,0,1,5,7.078643798828125,1
1,0,1,6,6.7482452392578125,1
1,0,1,7,7.2701873779296875,1
1,0,1,8,7.1648406982421875,1
1,0,1,9,7.0547027587890625,1
1,0,1,10,7.1025848388671875,1
1,0,1,11,7.12652587890625,1
1,0,1,12,7.02117919921875,1
1,0,1,13,7.2079315185546875,1
1,0,1,14,7.32763671875,1
1,0,1,15,7.1600494384765625,1
1,0,1,16,7.193572998046875,1
1,0,1,17,7.279754638671875,1
1,0,1,18,7.227081298828125,1
1,0,1,19,7.2127227783203125,1
1,0,1,20,7.298919677734375,1
1,0,1,21,7.2606048583984375,1
1,0,1,22,7.1983489990234375,1
1,0,1,23,7.2845458984375,1
1,0,1,24,7.227081298828125,1
1,0,1,25,7.2701873779296875,1
1,0,1,26,7.2223052978515625,1
1,0,1,27,7.2079315185546875,1
1,0,1,28,7.27496337890625,1
1,0,1,29,7.2079315185546875,1
1,0,1,30,7.29412841796875,1
1,0,1,31,7.2510223388671875,1
1,0,1,32,7.174407958984375,1
1,0,1,33,7.246246337890625,1
1,0,1,34,7.241455078125,1
1,0,1,35,7.174407958984375,1
1,0,1,36,7.29412841796875,1
1,0,1,37,7.236663818359375,1
1,0,1,38,7.246246337890625,1
1,0,1,39,7.241455078125,1
2,0,1,0,8.199127197265625,1
2,0,1,1,7.3180694580078125,1
2,0,1,2,7.3036956787109375,1
2,0,1,3,7.7825469970703125,1
2,0,1,4,8.357147216796875,1
2,0,1,5,8.017166137695312,1
2,0,1,6,7.7059326171875,1
2,0,1,7,7.6628265380859375,1
2,0,1,8,7.90704345703125,1
2,0,1,9,8.089004516601562,1
2,0,1,10,7.8639373779296875,1
2,0,1,11,7.859161376953125,1
2,0,1,12,7.9309844970703125,1
2,0,1,13,7.998016357421875,1
2,0,1,14,7.9644927978515625,1
2,0,1,15,7.959716796875,1
2,0,1,16,7.8974609375,1
2,0,1,17,7.9692840576171875,1
2,0,1,18,7.9357757568359375,1
2,0,1,19,7.99322509765625,1
2,0,1,20,7.954925537109375,1
2,0,1,21,7.998016357421875,1
2,0,1,22,8.050689697265625,1
2,0,1,23,7.954925537109375,1
2,0,1,24,7.902252197265625,1
2,0,1,25,8.122512817382812,1
2,0,1,26,8.069839477539062,1
2,0,1,27,8.074630737304688,1
2,0,1,28,8.007598876953125,1
2,0,1,29,8.0650634765625,1
2,0,1,30,8.141677856445312,1
2,0,1,31,8.141677856445312,1
2,0,1,32,8.084213256835938,1
2,0,1,33,8.136886596679688,1
2,0,1,34,8.05548095703125,1
2,0,1,35,8.146453857421875,1
2,0,1,36,8.093780517578125,1
2,0,1,37,8.060272216796875,1
2,0,1,38,8.132095336914062,1
2,0,1,39,8.089004516601562,1
3,0,1,0,7.5766448974609375,1
